IP,SPEED,LAST_CHECK_TIME,DNS_POSITION,PORT,TYPE
106.46.136.227,0.13秒,17-03-01 01:53,,808,HTTP
175.155.25.22,1.197秒,17-03-01 14:38,四川德阳,808,HTTP
119.5.35.152,0.298秒,17-03-01 09:50,四川达州,808,HTTP
125.120.207.170,0.241秒,17-03-01 09:50,浙江杭州,808,HTTP
125.118.76.115,0.574秒,17-02-28 23:09,浙江杭州,808,HTTP
110.73.11.98,2.064秒,17-02-28 23:09,广西防城港,8123,HTTP
106.46.136.3,4.897秒,17-02-28 15:51,,808,HTTP
125.118.151.211,5.772秒,17-02-28 15:46,浙江杭州,808,HTTP
106.46.136.179,0.147秒,17-02-28 20:22,,808,HTTP
106.46.136.203,0.214秒,17-02-28 20:20,,808,HTTP
119.5.0.74,0.239秒,17-03-01 13:00,四川南充,808,HTTP
221.7.238.70,7.081秒,17-03-01 13:00,广西贵港,8123,HTTP
106.46.136.69,0.175秒,17-03-01 06:47,,808,HTTP
125.121.117.233,1.71秒,17-03-01 01:46,浙江杭州,808,HTTP
110.72.39.135,7.49秒,17-03-01 01:46,广西贵港,8123,HTTP
220.191.102.97,0.221秒,17-02-28 12:21,浙江杭州,808,HTTP
111.72.126.87,2.455秒,17-03-01 14:37,江西吉安,808,HTTP
106.46.136.138,6.421秒,17-03-01 14:36,,808,HTTP
113.69.63.136,0.527秒,17-03-01 09:50,广东佛山,808,HTTP
113.69.37.177,2.55秒,17-03-01 09:46,广东佛山,808,HTTP
60.176.232.8,0.23秒,17-02-28 23:09,浙江杭州,808,HTTP
125.120.200.90,0.378秒,17-02-28 23:04,浙江杭州,808,HTTP
125.118.145.236,0.206秒,17-02-28 15:45,浙江杭州,808,HTTP
175.155.25.78,0.935秒,17-02-28 15:41,四川德阳,808,HTTP
220.189.184.136,0.213秒,17-02-28 20:11,浙江台州,8998,HTTP
115.204.28.36,0.236秒,17-02-28 20:10,浙江杭州,808,HTTP
111.155.124.77,0.381秒,17-03-01 13:00,北京,8123,HTTP
125.121.116.203,4.925秒,17-03-01 13:00,浙江杭州,808,HTTP
111.155.124.68,0.457秒,17-02-28 07:53,北京,8123,HTTP
113.123.79.2,3.964秒,17-03-01 06:46,山东滨州,808,HTTP
119.5.0.53,1.004秒,17-03-01 06:45,四川南充,808,HTTP
175.155.245.97,1.402秒,17-03-01 01:45,四川德阳,808,HTTP
175.155.71.58,2.565秒,17-03-01 01:45,四川德阳,808,HTTP
125.120.206.164,0.236秒,17-02-28 12:20,浙江杭州,808,HTTP
180.110.132.33,3.114秒,17-02-28 12:20,江苏南京,808,HTTP
106.46.136.35,1.389秒,17-03-01 14:36,,808,HTTP
60.176.236.190,0.456秒,17-03-01 14:36,浙江杭州,808,HTTP
106.46.137.6,0.58秒,17-03-01 09:40,,808,HTTP
113.69.255.76,0.534秒,17-03-01 09:32,广东佛山,808,HTTP
114.113.148.248,1.87秒,17-02-28 23:03,北京,808,HTTP
125.122.168.47,0.308秒,17-02-28 23:00,浙江杭州,808,HTTP
113.123.77.18,0.277秒,17-02-28 15:30,山东滨州,808,HTTP
111.72.126.59,0.283秒,17-02-28 15:27,江西吉安,808,HTTP
115.198.35.26,5.382秒,17-02-28 20:09,浙江杭州,808,HTTP
125.121.121.39,2.662秒,17-02-28 19:54,浙江杭州,808,HTTP
220.191.15.221,0.28秒,17-02-28 05:09,浙江杭州,808,HTTP
112.81.67.166,0.18秒,17-03-01 12:55,江苏苏州,8118,HTTP
111.72.126.87,2.455秒,17-03-01 12:54,江西吉安,808,HTTP
183.64.115.106,0.577秒,17-02-28 07:51,重庆,808,HTTP
175.155.247.180,1.625秒,17-02-28 07:45,四川德阳,808,HTTP
106.46.136.148,1.57秒,17-03-01 06:40,,808,HTTP
183.147.187.2,7.378秒,17-03-01 06:40,浙江金华,8998,HTTP
113.69.38.14,3.862秒,17-03-01 01:40,广东佛山,808,HTTP
60.176.236.164,0.218秒,17-03-01 01:36,浙江杭州,808,HTTP
60.176.234.109,0.212秒,17-02-28 12:18,浙江杭州,808,HTTP
115.198.35.162,1.682秒,17-02-28 12:18,浙江杭州,808,HTTP
58.23.122.75,1.346秒,17-03-01 14:36,福建漳州,80,HTTP
106.46.136.149,0.123秒,17-03-01 14:36,,808,HTTP
113.69.253.162,0.184秒,17-03-01 09:32,广东佛山,808,HTTP
110.72.56.165,0.255秒,17-03-01 09:30,广西贵港,8123,HTTP
106.46.136.158,0.149秒,17-02-28 23:00,,808,HTTP
115.204.26.132,0.214秒,17-02-28 23:00,浙江杭州,808,HTTP
125.120.41.147,0.446秒,17-02-27 22:00,浙江杭州,808,HTTP
60.176.239.95,0.414秒,17-02-27 20:00,浙江杭州,808,HTTP
111.72.127.106,0.404秒,17-02-27 16:43,江西吉安,808,HTTP
125.121.116.70,0.315秒,17-02-28 15:27,浙江杭州,808,HTTP
125.118.73.27,0.488秒,17-02-28 15:27,浙江杭州,808,HTTP
115.204.27.35,2.649秒,17-02-28 19:54,浙江杭州,808,HTTP
61.178.221.228,0.15秒,17-02-28 19:52,甘肃兰州,8998,HTTP
218.2.184.37,0.137秒,17-02-28 05:01,江苏南京,8118,HTTP
115.198.34.120,0.498秒,17-02-28 05:01,浙江杭州,808,HTTP
106.46.136.46,3.52秒,17-03-01 12:54,,808,HTTP
111.155.124.94,0.366秒,17-03-01 12:53,北京,8123,HTTP
125.122.170.91,4.492秒,17-02-28 07:45,浙江杭州,808,HTTP
125.118.75.215,0.177秒,17-02-28 07:45,浙江杭州,808,HTTP
119.5.0.42,0.332秒,17-03-01 06:40,四川南充,808,HTTP
175.155.243.143,0.304秒,17-03-01 06:30,四川德阳,808,HTTP
111.76.137.4,3.205秒,17-03-01 01:36,江西新余,808,HTTP
121.31.88.67,2.771秒,17-03-01 01:36,广西梧州,8123,HTTP
180.110.133.183,0.262秒,17-02-28 12:18,江苏南京,808,HTTP
125.120.200.205,0.449秒,17-02-28 12:10,浙江杭州,808,HTTP
183.140.82.167,5.517秒,17-03-01 14:36,浙江嘉兴,3128,HTTP
106.46.136.223,0.141秒,17-03-01 14:36,,808,HTTP
125.120.42.186,0.178秒,17-03-01 09:30,浙江杭州,808,HTTP
125.120.9.191,0.301秒,17-03-01 09:27,浙江杭州,808,HTTP
125.118.146.226,7.386秒,17-02-27 08:45,浙江杭州,808,HTTP
113.123.77.109,0.281秒,17-02-27 05:09,山东滨州,808,HTTP
220.191.102.182,1.315秒,17-02-27 01:10,浙江杭州,808,HTTP
59.32.95.120,1.925秒,17-02-28 23:00,广东梅州,808,HTTP
125.121.117.206,1.78秒,17-02-28 22:55,浙江杭州,808,HTTP
114.236.123.58,0.184秒,17-02-27 22:00,江苏盐城,8998,HTTP
106.46.136.198,0.409秒,17-02-27 21:45,,808,HTTP
222.86.37.15,3.836秒,17-02-27 19:54,贵州贵阳,8998,HTTP
125.118.78.216,0.18秒,17-02-27 19:45,浙江杭州,808,HTTP
111.72.245.136,0.753秒,17-02-27 16:42,江西鹰潭,808,HTTP
125.120.207.84,0.183秒,17-02-27 16:40,浙江杭州,808,HTTP
182.87.239.181,4.172秒,17-02-28 15:27,江西,808,HTTP
115.200.50.161,1.328秒,17-02-28 15:23,浙江杭州,80,HTTP
123.169.85.112,6.998秒,17-02-28 19:45,山东淄博,808,HTTP
125.120.207.133,0.201秒,17-02-28 19:36,浙江杭州,808,HTTP
125.120.201.47,5.307秒,17-02-28 05:00,浙江杭州,808,HTTP
180.175.138.93,0.143秒,17-02-28 04:54,上海,63000,HTTP
60.184.59.64,0.227秒,17-03-01 12:53,浙江湖州,8998,HTTP
106.46.136.232,0.134秒,17-03-01 12:51,,808,HTTP
175.155.246.235,0.564秒,17-02-28 07:45,四川德阳,808,HTTP
36.248.132.199,1.902秒,17-02-28 07:43,福建福州,808,HTTP
106.46.136.118,0.153秒,17-03-01 06:30,,808,HTTP
123.169.85.45,0.303秒,17-03-01 06:28,山东淄博,808,HTTP
182.42.37.185,1.153秒,17-03-01 01:36,山东,808,HTTP
123.169.90.13,4.587秒,17-03-01 01:36,山东淄博,808,HTTP
171.38.190.87,4.931秒,17-02-28 12:10,广西钦州,8123,HTTP
110.72.6.242,0.351秒,17-02-28 12:10,广西贵港,8123,HTTP
115.151.206.118,0.578秒,17-03-01 14:36,江西,808,HTTP
106.46.136.151,3.232秒,17-03-01 14:36,,808,HTTP
106.46.136.226,7.672秒,17-02-26 12:36,,808,HTTP
171.38.172.75,2.26秒,17-02-26 22:36,广西钦州,8123,HTTP
171.39.45.115,0.351秒,17-03-01 09:27,广西百色,8123,HTTP
171.38.179.78,0.446秒,17-03-01 09:27,广西钦州,8123,HTTP
118.123.45.10,0.285秒,17-02-26 16:30,四川,8998,HTTP
125.120.204.85,0.915秒,17-02-27 08:42,浙江杭州,808,HTTP
183.157.185.106,1.122秒,17-02-27 08:32,浙江杭州,80,HTTP
49.72.98.161,0.33秒,17-02-27 05:03,江苏苏州,8998,HTTP
125.118.74.180,0.356秒,17-02-27 05:01,浙江杭州,808,HTTP
125.120.8.89,0.834秒,17-02-27 01:09,浙江杭州,808,HTTP
182.88.36.154,5.967秒,17-02-27 01:09,广西南宁,8123,HTTP
125.120.10.89,0.377秒,17-02-28 22:54,浙江杭州,808,HTTP
106.46.136.15,1.355秒,17-02-28 22:54,,808,HTTP
125.118.74.167,0.441秒,17-02-27 21:45,浙江杭州,808,HTTP
125.122.168.17,5.447秒,17-02-27 21:45,浙江杭州,808,HTTP
114.235.177.42,0.179秒,17-02-27 19:45,江苏徐州,8998,HTTP
113.123.78.41,0.214秒,17-02-27 19:45,山东滨州,808,HTTP
113.123.79.126,1.74秒,17-02-27 16:36,山东滨州,808,HTTP
59.32.95.146,0.839秒,17-02-27 16:32,广东梅州,808,HTTP
119.5.1.114,0.233秒,17-02-28 15:20,四川南充,808,HTTP
125.118.148.71,0.294秒,17-02-28 15:20,浙江杭州,808,HTTP
125.118.74.210,0.233秒,17-02-28 19:36,浙江杭州,808,HTTP
106.46.136.77,0.508秒,17-02-28 19:35,,808,HTTP
183.140.87.191,0.468秒,17-02-28 04:54,浙江嘉兴,3128,HTTP
125.118.149.132,0.315秒,17-02-28 04:45,浙江杭州,808,HTTP
222.134.134.250,1.811秒,17-03-01 12:51,山东淄博,8118,HTTP
60.176.239.78,0.246秒,17-03-01 12:45,浙江杭州,808,HTTP
125.118.146.139,0.273秒,17-02-28 07:42,浙江杭州,808,HTTP
111.72.126.239,0.193秒,17-02-28 07:40,江西吉安,808,HTTP
111.72.126.62,2.263秒,17-03-01 06:27,江西吉安,808,HTTP
175.155.243.205,0.54秒,17-03-01 06:27,四川德阳,808,HTTP
171.39.40.15,1.343秒,17-03-01 01:31,广西百色,8123,HTTP
113.69.253.132,0.204秒,17-03-01 01:31,广东佛山,808,HTTP
36.45.187.46,0.159秒,17-02-28 12:10,陕西,8998,HTTP
171.38.174.201,0.449秒,17-02-28 12:10,广西钦州,8123,HTTP
124.116.19.71,0.143秒,17-03-01 14:35,陕西铜川,8998,HTTP
106.46.136.217,2.204秒,17-03-01 14:34,,808,HTTP
182.244.96.89,0.439秒,17-02-26 12:33,云南楚雄州,8998,HTTP
171.36.25.25,0.472秒,17-02-26 12:30,广西南宁,8123,HTTP
121.204.165.170,0.58秒,17-02-26 22:31,福建厦门,8118,HTTP
111.72.126.240,7.477秒,17-02-26 22:30,江西吉安,808,HTTP
110.72.30.203,0.273秒,17-03-01 09:27,广西贵港,8123,HTTP
171.38.185.214,0.288秒,17-03-01 09:27,广西钦州,8123,HTTP
111.72.127.209,3.607秒,17-02-26 16:30,江西吉安,808,HTTP
121.31.48.105,0.965秒,17-02-26 16:30,广西南宁,8123,HTTP
119.5.0.76,0.24秒,17-02-27 08:31,四川南充,808,HTTP
59.62.91.4,5.999秒,17-02-27 08:20,江西鹰潭,8998,HTTP
220.191.13.22,1.022秒,17-02-27 05:00,浙江杭州,808,HTTP
220.191.14.197,2.64秒,17-02-27 04:55,浙江杭州,808,HTTP
125.121.118.173,0.318秒,17-02-27 01:01,浙江杭州,808,HTTP
60.176.238.46,4.166秒,17-02-27 01:01,浙江杭州,808,HTTP
27.159.127.167,1.335秒,17-02-28 22:53,福建莆田,8118,HTTP
119.5.0.26,0.295秒,17-02-28 22:50,四川南充,808,HTTP
111.72.126.79,0.515秒,17-02-27 21:39,江西吉安,808,HTTP
115.223.196.170,0.232秒,17-02-27 21:32,浙江温州,8998,HTTP
125.118.78.159,5.785秒,17-02-27 19:40,浙江杭州,808,HTTP
115.204.29.10,3.486秒,17-02-27 19:36,浙江杭州,808,HTTP
59.32.95.204,1.55秒,17-02-27 16:32,广东梅州,808,HTTP
121.204.165.157,0.369秒,17-02-27 16:30,福建厦门,8118,HTTP
125.118.144.124,0.25秒,17-02-28 15:20,浙江杭州,808,HTTP
125.118.146.98,0.268秒,17-02-28 15:18,浙江杭州,808,HTTP
106.46.136.135,1.146秒,17-02-28 19:35,,808,HTTP
119.5.0.20,0.241秒,17-02-28 19:31,四川南充,808,HTTP
120.76.241.52,2.935秒,17-02-28 04:45,,80,HTTP
125.118.78.57,0.382秒,17-02-28 04:40,浙江杭州,808,HTTP
106.46.136.131,0.173秒,17-03-01 12:45,,808,HTTP
183.141.120.253,7.38秒,17-03-01 12:45,浙江嘉兴,3128,HTTP
125.121.117.35,0.565秒,17-02-28 07:37,浙江杭州,808,HTTP
113.123.79.209,0.701秒,17-02-28 07:37,山东滨州,808,HTTP
119.5.0.60,0.361秒,17-03-01 06:21,四川南充,808,HTTP
113.69.166.65,1.286秒,17-03-01 06:21,广东佛山,808,HTTP
113.123.77.52,0.175秒,17-03-01 01:18,山东滨州,808,HTTP
121.40.42.35,0.129秒,17-03-01 01:11,辽宁鞍山,9999,HTTP
60.176.234.245,7.779秒,17-02-28 12:09,浙江杭州,808,HTTP
125.118.146.234,0.262秒,17-02-28 12:09,浙江杭州,808,HTTP
106.46.136.19,3.865秒,17-03-01 14:34,,808,HTTP
180.76.154.5,4.217秒,17-03-01 14:34,北京,8888,HTTP
106.46.136.170,0.457秒,17-02-26 12:28,,808,HTTP
115.204.24.136,0.635秒,17-02-26 12:18,浙江杭州,808,HTTP
60.176.238.135,2.203秒,17-02-26 22:30,浙江杭州,808,HTTP
60.176.235.227,4.427秒,17-02-26 22:27,浙江杭州,808,HTTP
110.72.46.233,0.825秒,17-03-01 09:27,广西贵港,8123,HTTP
113.69.62.210,0.521秒,17-03-01 09:20,广东佛山,808,HTTP
125.118.243.208,0.247秒,17-02-26 16:27,浙江杭州,808,HTTP
125.118.241.191,0.217秒,17-02-26 16:27,浙江杭州,808,HTTP
123.169.91.229,2.592秒,17-02-27 08:18,山东淄博,808,HTTP
125.121.119.60,0.197秒,17-02-27 08:14,浙江杭州,808,HTTP
125.122.117.170,0.341秒,17-02-27 04:54,浙江杭州,808,HTTP
125.122.170.223,0.292秒,17-02-27 04:54,浙江杭州,808,HTTP
125.120.207.206,4.476秒,17-02-27 01:00,浙江杭州,808,HTTP
125.120.10.234,1.496秒,17-02-27 01:00,浙江杭州,808,HTTP
125.118.149.228,0.753秒,17-02-28 22:45,浙江杭州,808,HTTP
106.46.137.2,0.157秒,17-02-28 22:45,,808,HTTP
120.38.10.76,0.355秒,17-02-27 21:31,福建漳州,8998,HTTP
125.122.118.141,0.153秒,17-02-27 21:30,浙江杭州,808,HTTP
125.118.243.86,0.275秒,17-02-27 19:30,浙江杭州,808,HTTP
125.120.42.199,0.223秒,17-02-27 19:30,浙江杭州,808,HTTP
125.120.206.147,0.746秒,17-02-27 16:28,浙江杭州,808,HTTP
111.72.126.145,1.225秒,17-02-27 16:27,江西吉安,808,HTTP
110.73.3.58,7.107秒,17-02-28 15:18,广西防城港,8123,HTTP
182.243.152.22,0.431秒,17-02-28 15:12,云南昆明,8998,HTTP
111.73.144.238,7.289秒,17-02-28 19:30,江西景德镇,8998,HTTP
222.161.197.242,3.921秒,17-02-28 19:29,吉林,80,HTTP
125.122.168.68,0.623秒,17-02-28 04:38,浙江杭州,808,HTTP
115.234.150.136,0.247秒,17-02-28 04:33,浙江温州,8998,HTTP
106.46.136.71,3.145秒,17-03-01 12:36,,808,HTTP
175.155.25.22,1.197秒,17-03-01 12:30,四川德阳,808,HTTP
110.180.68.93,6.629秒,17-02-28 07:33,山西阳泉,8998,HTTP
119.5.0.33,0.241秒,17-02-28 07:30,四川南充,808,HTTP
125.121.116.254,0.201秒,17-03-01 06:21,浙江杭州,808,HTTP
119.5.1.62,1.248秒,17-03-01 06:20,四川南充,808,HTTP
120.37.74.200,0.23秒,17-03-01 01:10,福建泉州,8998,HTTP
175.155.247.174,1.718秒,17-03-01 01:01,四川德阳,808,HTTP
106.46.136.184,1.021秒,17-02-28 12:01,,808,HTTP
183.128.240.181,0.578秒,17-02-28 12:00,浙江杭州,808,HTTP
121.204.165.113,0.582秒,17-03-01 14:32,福建厦门,8118,HTTP
106.46.136.147,0.241秒,17-03-01 14:32,,808,HTTP
175.155.24.29,0.252秒,17-02-26 12:10,四川德阳,808,HTTP
125.122.171.182,2.765秒,17-02-26 12:10,浙江杭州,808,HTTP
106.46.136.164,0.713秒,17-02-26 22:22,,808,HTTP
123.169.86.89,1.65秒,17-02-26 22:21,山东淄博,808,HTTP
113.69.36.205,1.121秒,17-03-01 09:20,广东佛山,808,HTTP
113.69.166.126,0.524秒,17-03-01 09:20,广东佛山,808,HTTP
121.204.165.201,0.784秒,17-02-26 16:22,福建厦门,8118,HTTP
114.235.177.63,0.225秒,17-02-26 16:20,江苏徐州,8998,HTTP
125.118.148.229,4.091秒,17-02-27 08:12,浙江杭州,808,HTTP
106.46.136.4,1.128秒,17-02-27 08:10,,808,HTTP
125.121.121.150,0.304秒,17-02-27 04:54,浙江杭州,808,HTTP
125.121.114.198,0.23秒,17-02-27 04:53,浙江杭州,808,HTTP
60.176.237.57,0.213秒,17-02-27 00:55,浙江杭州,808,HTTP
220.191.103.145,0.22秒,17-02-27 00:54,浙江杭州,808,HTTP
27.159.125.179,0.838秒,17-02-28 22:43,福建莆田,8118,HTTP
106.46.136.64,2.339秒,17-02-28 22:42,,808,HTTP
125.121.119.43,3.594秒,17-02-27 21:30,浙江杭州,808,HTTP
175.155.245.168,0.23秒,17-02-27 21:30,四川德阳,808,HTTP
111.72.127.25,1.048秒,17-02-27 19:24,江西吉安,808,HTTP
115.204.28.64,2.633秒,17-02-27 19:22,浙江杭州,808,HTTP
1.206.17.164,0.708秒,17-02-27 16:21,贵州六盘水,8998,HTTP
117.89.251.42,0.179秒,17-02-27 16:20,江苏南京,8998,HTTP
125.118.67.80,0.42秒,17-02-28 15:10,浙江杭州,808,HTTP
111.72.154.92,4.7秒,17-02-28 15:10,江西宜春,808,HTTP
125.122.171.137,1.288秒,17-02-28 19:27,浙江杭州,808,HTTP
125.118.246.234,0.426秒,17-02-28 19:27,浙江杭州,808,HTTP
125.120.9.37,0.523秒,17-02-28 04:30,浙江杭州,808,HTTP
125.118.75.199,0.371秒,17-02-28 04:27,浙江杭州,808,HTTP
111.76.178.138,0.158秒,17-03-01 12:27,江西新余,808,HTTP
175.155.229.113,0.308秒,17-03-01 12:19,四川德阳,808,HTTP
111.72.127.240,4.747秒,17-02-28 07:27,江西吉安,808,HTTP
125.121.115.225,0.287秒,17-02-28 07:27,浙江杭州,808,HTTP
113.123.79.154,0.164秒,17-03-01 06:20,山东滨州,808,HTTP
171.8.169.51,0.838秒,17-03-01 06:18,河南郑州,808,HTTP
125.120.207.153,6.296秒,17-03-01 01:01,浙江杭州,808,HTTP
113.121.254.45,2.889秒,17-03-01 00:54,山东德州,808,HTTP
182.90.83.89,4.234秒,17-02-28 12:00,广西梧州,8123,HTTP
113.123.78.254,0.155秒,17-02-28 11:54,山东滨州,808,HTTP
115.204.25.221,0.251秒,17-03-01 14:31,浙江杭州,808,HTTP
182.42.37.15,0.424秒,17-03-01 14:31,山东,808,HTTP
125.122.119.172,0.201秒,17-02-26 12:10,浙江杭州,808,HTTP
220.191.103.52,0.333秒,17-02-26 12:10,浙江杭州,808,HTTP
125.122.119.119,0.768秒,17-02-26 22:18,浙江杭州,808,HTTP
123.169.88.237,2.078秒,17-02-26 22:18,山东淄博,808,HTTP
113.69.63.54,0.176秒,17-03-01 09:20,广东佛山,808,HTTP
113.69.167.194,0.19秒,17-03-01 09:20,广东佛山,808,HTTP
175.155.242.225,0.252秒,17-02-26 16:15,四川德阳,808,HTTP
27.159.126.16,0.183秒,17-02-26 16:11,福建莆田,8118,HTTP
125.122.62.189,2.382秒,17-02-27 08:09,浙江杭州,808,HTTP
110.73.5.247,0.681秒,17-02-27 08:09,广西防城港,8123,HTTP
125.118.74.30,0.33秒,17-02-27 04:50,浙江杭州,808,HTTP
125.120.201.77,2.756秒,17-02-27 04:48,浙江杭州,808,HTTP
125.118.74.152,0.325秒,17-02-27 00:54,浙江杭州,808,HTTP
183.140.81.111,5.217秒,17-02-27 00:45,浙江嘉兴,3128,HTTP
61.159.140.140,0.309秒,17-02-28 22:41,贵州贵阳,80,HTTP
121.204.165.39,0.253秒,17-02-28 22:41,福建厦门,8118,HTTP
125.118.145.212,1.164秒,17-02-27 21:27,浙江杭州,808,HTTP
125.118.147.28,0.238秒,17-02-27 21:27,浙江杭州,808,HTTP
58.208.246.255,0.689秒,17-02-27 19:20,江苏苏州,8998,HTTP
125.118.244.122,0.257秒,17-02-27 19:20,浙江杭州,808,HTTP
115.198.36.19,2.592秒,17-02-27 16:17,浙江杭州,808,HTTP
183.146.187.6,0.211秒,17-02-27 16:12,浙江金华,8998,HTTP
175.155.152.204,2.822秒,17-02-28 15:09,四川德阳,808,HTTP
220.191.14.108,1.561秒,17-02-28 15:00,浙江杭州,808,HTTP
125.118.244.141,0.185秒,17-02-28 19:26,浙江杭州,808,HTTP
222.45.80.203,3.963秒,17-02-28 19:25,江苏徐州,8998,HTTP
125.118.74.45,0.786秒,17-02-28 04:27,浙江杭州,808,HTTP
125.118.73.158,0.292秒,17-02-28 04:27,浙江杭州,808,HTTP
171.38.132.165,5.85秒,17-03-01 12:18,广西钦州,8123,HTTP
125.118.77.255,0.62秒,17-03-01 12:18,浙江杭州,808,HTTP
125.121.117.104,2.428秒,17-02-28 07:27,浙江杭州,808,HTTP
36.249.27.3,0.305秒,17-02-28 07:20,福建泉州,808,HTTP
106.46.136.196,0.139秒,17-03-01 06:18,,808,HTTP
175.155.241.75,0.479秒,17-03-01 06:12,四川德阳,808,HTTP
113.123.19.51,1.914秒,17-03-01 00:54,山东青岛,808,HTTP
182.88.88.121,0.272秒,17-03-01 00:54,广西南宁,8123,HTTP
125.120.200.106,0.745秒,17-02-28 11:54,浙江杭州,808,HTTP
125.120.206.10,0.282秒,17-02-28 11:54,浙江杭州,808,HTTP
124.88.67.52,0.347秒,17-03-01 14:31,新疆乌鲁木齐,843,HTTP
124.88.67.14,1.334秒,17-03-01 14:31,新疆乌鲁木齐,80,HTTP
182.87.241.213,3.091秒,17-02-26 12:09,江西,808,HTTP
111.72.127.193,0.553秒,17-02-26 12:07,江西吉安,808,HTTP
60.176.236.172,0.58秒,17-02-26 22:10,浙江杭州,808,HTTP
49.73.169.9,1.4秒,17-02-26 22:10,江苏苏州,8998,HTTP
60.176.236.220,0.274秒,17-03-01 09:13,浙江杭州,808,HTTP
110.73.5.141,5.66秒,17-03-01 09:12,广西防城港,8123,HTTP
223.240.212.163,0.16秒,17-02-26 16:10,安徽合肥,808,HTTP
125.120.11.167,2.886秒,17-02-26 16:10,浙江杭州,808,HTTP
122.5.129.218,2.156秒,17-02-27 08:09,山东德州,808,HTTP
